,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,own_goals,opta_index,fiks_id
10,100.0,100.0,133461,0,0,-3,3,0,2,2.3,2.7,1,Odin,2.7,11,False,,2024-09-01T11:07:53.422388Z,47,133461.jpg,2.4,Lurås Bjørtuft,1.6,False,,a,1,8,65,334,0,768,0,0.6,13.8,Bjørtuft,,1576,0,1,7,20,0,0,0,0,0,0,0,0.000000,3334055.0
11,100.0,100.0,127232,0,0,0,0,0,1,0.0,0.0,0,Julian,0.0,12,False,,2024-11-07T17:08:05.064047Z,45,127232.jpg,0.0,Faye Lund,0.1,False,,a,1,8,0,6,0,29,0,0.0,0.0,Faye Lund,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,2762688.0
12,100.0,100.0,480864,0,0,0,0,2,3,0.0,0.0,0,Nino,0.0,13,False,,2024-10-18T14:53:52.169043Z,80,480864.jpg,4.4,Žugelj,7.1,False,,a,1,8,61,13734,0,11522,0,0.0,7.6,Žugelj,,767,3,4,5,8,0,0,0,0,0,7,0,0.000000,3976164.0
13,0.0,0.0,629871,0,0,-1,1,0,2,0.0,0.0,0,Lucas,0.0,14,False,Overgang til Zbrojovka Brno,2024-07-25T16:23:56.729986Z,44,629871.jpg,0.0,Kubr,0.1,False,,u,1,8,0,3,0,14,0,0.0,0.0,Kubr,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3976163.0
14,0.0,0.0,501823,0,0,4,-4,4,3,0.0,0.0,0,Albert,0.0,15,False,Solgt til Rennes,2024-07-15T19:48:32.686548Z,109,501823.jpg,6.8,Grønbæk,29.1,False,,u,1,8,102,13082,0,23479,0,0.0,9.4,Grønbæk,,1258,8,2,7,9,0,0,1,0,0,21,0,0.000000,3976533.0
15,0.0,0.0,42558,0,0,0,0,0,2,0.0,0.0,0,Marius,0.0,16,False,Solgt til AIK,2024-03-28T08:14:09.855438Z,50,42558.jpg,0.0,Lode,0.1,False,,u,1,8,0,0,0,49,0,0.0,0.0,Lode,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,2422535.0
16,100.0,100.0,115003,0,0,4,-4,3,3,7.3,9.7,9,Patrick,9.7,17,False,,2024-09-22T19:48:35.309767Z,64,115003.jpg,4.7,Berg,33.1,False,,a,1,8,136,16409,0,15767,0,1.5,21.2,Berg,,2610,9,2,11,31,0,0,4,0,0,20,0,0.000000,2668401.0
17,100.0,100.0,376766,0,0,-2,2,0,1,0.0,0.0,0,Magnus,0.0,18,False,,2024-07-13T13:42:24.484474Z,38,376766.jpg,0.0,Brøndbo,0.6,False,,a,1,8,0,129,0,147,0,0.0,0.0,Brøndbo,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3413100.0
18,50.0,50.0,372712,0,0,-1,1,0,3,0.0,0.0,0,Daniel,0.0,19,False,Smell - 25 % sjanse for å spille,2024-07-12T00:32:31.579071Z,69,372712.jpg,0.0,Bassi,0.1,False,,d,1,8,0,1,0,35,0,0.0,0.0,Bassi,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,2686541.0
19,,,508796,0,0,-1,1,0,1,0.0,0.0,0,Isak,0.0,20,False,,,39,508796.jpg,0.0,Sjong,0.2,False,,a,1,8,0,44,0,42,0,0.0,0.0,Sjong,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3645505.0
20,100.0,100.0,132601,0,0,5,-5,2,1,4.7,2.7,1,Nikita,2.7,21,True,,2024-07-31T16:00:04.613591Z,55,132601.jpg,4.6,Haikin,16.4,False,,a,1,8,139,5490,0,2264,0,0.5,25.3,Haikin,,2700,0,0,12,31,3,0,2,0,80,13,0,0.000000,3740550.0
21,0.0,0.0,188570,0,0,-3,3,0,4,0.0,0.0,0,Oscar,0.0,22,False,På utlån til Kongsvinger,2024-09-01T14:17:02.804844Z,77,188570.jpg,1.1,Kapskarmo,1.6,False,,u,1,8,12,471,0,1053,0,0.0,1.6,Kapskarmo,,308,0,0,0,4,0,0,1,0,0,0,0,0.000000,3811335.0
22,100.0,100.0,168658,0,0,-2,2,1,1,2.7,2.7,2,Kjetil,2.7,23,False,,2024-07-17T10:44:54.641934Z,48,168658.jpg,3.5,Haug,1.6,False,,a,10,14,35,40,0,458,0,0.6,7.3,Haug,,900,0,0,2,19,0,0,1,0,40,3,0,0.000000,3078522.0
23,0.0,0.0,125454,0,0,-1,1,0,3,0.0,0.0,0,Gaute,0.0,24,False,Ukjent - Ute på ubestemt tid,2024-03-19T08:52:14.971335Z,44,125454.jpg,0.0,Høberg Vetti,0.1,False,,i,1,8,0,5,0,16,0,0.0,0.0,Vetti,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,2751717.0
24,100.0,100.0,337039,0,0,3,-3,4,4,0.3,4.7,13,Kasper,4.7,25,False,,2024-10-21T11:11:05.680771Z,103,337039.jpg,4.2,Høgh,10.0,False,,a,1,8,97,19324,0,15473,0,0.5,9.4,Høgh,,1086,12,2,4,11,0,0,1,0,0,12,0,0.000000,3990339.0
25,100.0,100.0,94765,0,0,7,-7,1,2,0.7,-0.3,1,Jostein,-0.3,26,False,,2024-11-10T22:19:47.476492Z,62,94765.jpg,3.8,Gundersen,21.3,False,,a,1,8,96,15112,0,12184,0,0.0,15.5,Gundersen,,2213,2,3,9,26,0,0,4,1,0,4,0,0.000000,3041913.0
26,100.0,100.0,252190,0,0,-1,1,3,3,1.7,3.3,5,Håkon,3.3,27,False,,2024-10-28T21:23:45.508387Z,99,252190.jpg,4.3,Evjen,4.7,False,,a,1,8,113,8069,0,6769,0,0.3,11.4,Evjen,,1974,4,10,9,22,0,0,5,0,0,12,0,0.000000,3810722.0
27,100.0,100.0,158465,0,0,1,-1,3,3,8.0,8.7,7,Jens Petter,8.7,28,False,,2024-07-18T22:16:24.487257Z,116,158465.jpg,4.4,Hauge,18.0,False,,a,1,8,123,6800,0,11500,0,0.8,10.6,Hauge,,2006,8,6,8,27,0,0,3,0,0,12,0,0.000000,2773713.0
28,100.0,100.0,154741,0,0,0,0,0,2,2.3,4.3,6,Sigurd,4.3,29,False,,2024-09-20T19:27:24.661521Z,45,154741.jpg,3.8,Kvile,2.2,False,,a,3,40,91,2084,0,1554,0,1.0,20.2,Kvile,,2074,1,1,12,28,0,0,5,0,0,4,0,0.000000,2750385.0
29,100.0,100.0,502906,0,0,1,-1,3,2,1.0,1.0,1,Patrick,1.0,30,False,,2024-08-04T22:26:44.477412Z,46,502906.jpg,3.0,Metcalfe,4.4,False,,a,3,40,90,5038,0,3253,0,0.2,19.6,Metcalfe,,2153,0,2,9,24,0,0,2,0,0,5,0,0.000000,3957281.0
30,0.0,0.0,392964,0,0,-1,1,0,4,0.0,0.0,0,Maï,0.0,31,False,Ikke registrert for spill resten av sesongen,2024-09-13T10:16:17.600358Z,64,392964.jpg,2.6,Traoré,1.7,False,,i,3,40,34,1644,0,2288,0,0.0,5.3,Traoré,,822,2,2,5,10,0,0,2,0,0,3,1,0.000000,3924762.0
31,100.0,100.0,500617,0,0,-3,3,1,3,1.3,1.7,3,Jeppe,1.7,32,False,,2024-05-25T18:56:51.074295Z,47,500617.jpg,2.6,Kjær,0.6,False,,a,3,40,63,981,0,954,0,0.4,13.4,Kjær,,1040,3,3,5,14,0,0,1,0,0,3,0,0.000000,3993996.0
32,100.0,100.0,94818,0,0,6,-6,6,3,3.3,2.3,3,Morten,2.3,33,False,,2024-07-08T20:00:44.504455Z,61,94818.jpg,4.9,Bjørlo,25.7,False,,a,3,40,136,24167,0,12738,0,0.4,22.3,Bjørlo,,2021,10,4,9,27,0,0,3,1,0,23,0,0.000000,2800860.0
33,100.0,100.0,186308,0,0,0,0,0,4,4.7,4.7,1,Jóannes,4.7,34,False,,2024-08-16T14:16:30.282247Z,75,186308.jpg,2.3,Bjartalíð,1.4,False,,a,3,40,25,187,0,1057,0,0.6,3.3,Bjartalíð,,401,0,3,1,5,0,0,0,0,0,3,0,0.000000,3984895.0
34,100.0,100.0,68631,0,0,0,0,0,4,2.3,2.0,1,Henrik,2.0,35,False,,2024-03-19T08:58:56.381997Z,50,68631.jpg,1.8,Kjelsrud Johansen,1.2,False,,a,3,40,44,1070,0,939,0,0.4,8.8,Kjelsrud Johansen,,477,4,0,0,11,0,0,1,0,0,4,0,0.000000,3385375.0
35,100.0,100.0,133958,0,0,-2,2,0,2,0.7,0.0,0,Philip,0.0,36,False,,2024-09-20T19:27:24.639946Z,43,133958.jpg,1.9,Aukland,0.2,False,,a,3,40,30,26,0,80,0,0.0,7.0,Aukland,,1114,0,1,3,19,0,0,5,0,0,0,1,0.000000,3221413.0
36,0.0,0.0,110790,0,0,-2,2,0,2,0.0,0.0,0,Ludvig,0.0,37,False,Utlånt til IK Start,2024-08-24T09:10:57.320790Z,38,110790.jpg,1.7,Begby,1.7,False,,u,3,40,17,529,0,1262,0,0.0,4.5,Begby,,145,0,2,0,1,0,0,0,0,0,1,0,0.000000,2704606.0
37,0.0,0.0,35461,0,0,0,0,0,2,0.0,0.0,0,Tim,0.0,38,False,På utlån til Moss,2024-04-05T09:12:48.219467Z,40,35461.jpg,0.0,Björkström,0.2,False,,u,3,40,0,6,0,115,0,0.0,0.0,Björkström,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3989188.0
38,100.0,100.0,354443,0,0,0,0,0,2,0.0,0.3,1,Imre,0.3,39,False,,2024-08-29T13:03:24.287783Z,40,354443.jpg,1.0,Bech Hermansen,0.1,False,,a,3,40,2,3,0,44,0,0.1,0.5,Bech Hermansen,,11,0,0,0,0,0,0,0,0,0,0,0,0.000000,3305264.0
39,0.0,0.0,280367,0,0,-1,1,0,2,0.0,0.0,0,Oscar,0.0,40,False,Overgang til Strømmen,2024-06-28T15:36:06.182712Z,39,280367.jpg,0.0,Jansson,0.2,False,,u,3,40,0,14,0,46,0,0.0,0.0,Jansson,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3567339.0
40,0.0,0.0,106224,0,0,-3,3,0,2,0.0,0.0,0,Mads,0.0,41,False,På utlån til Aalesund,2024-08-02T11:54:28.822946Z,42,106224.jpg,1.0,Nielsen,0.0,False,,u,3,40,7,4,0,13,0,0.0,1.7,Nielsen,,83,0,0,0,0,0,0,1,0,0,0,0,0.000000,3610663.0
41,,,32766,0,0,-1,1,0,2,1.0,4.0,10,Simen,4.0,42,False,,,44,32766.jpg,2.8,Rafn,0.6,False,,a,3,40,77,214,0,222,0,0.9,17.5,Rafn,,1815,1,1,8,25,0,0,2,0,0,1,0,0.000000,2728524.0
42,100.0,100.0,95721,0,0,12,-12,5,2,3.3,4.7,6,Stian,4.7,43,True,,2024-08-29T13:03:24.313003Z,57,95721.jpg,5.2,Stray Molde,34.3,False,,a,3,40,135,25796,0,9459,0,0.8,23.7,Stray Molde,,2007,6,4,10,22,0,0,3,1,0,14,1,0.000000,2670978.0
43,100.0,100.0,268058,0,0,-1,1,0,2,0.0,0.0,0,Brage,0.0,44,False,,2024-10-30T20:12:06.777274Z,44,268058.jpg,2.8,Skaret,0.2,False,,a,3,40,62,74,0,50,0,0.0,14.1,Skaret,,1281,0,1,7,9,0,0,1,0,0,0,0,0.000000,3529189.0
44,100.0,100.0,482342,0,0,0,0,0,2,3.0,4.3,6,Maxwell,4.3,45,False,,2024-07-27T19:12:30.424386Z,45,482342.jpg,3.2,Woledzi,1.7,False,,a,3,40,92,763,0,607,0,1.0,20.4,Woledzi,,2610,0,0,12,35,0,0,4,0,0,3,0,0.000000,4036076.0
45,,,483837,0,0,6,-6,2,1,4.0,5.0,5,Jonathan,5.0,46,False,,,51,483837.jpg,4.5,Fischer,22.8,False,,a,3,40,136,13592,0,3748,0,1.0,26.7,Fischer,,2700,0,0,13,35,0,0,2,0,96,17,0,0.000000,4051201.0
46,,,101807,0,0,-4,4,1,1,0.0,0.0,0,Håvar,0.0,47,False,,,41,101807.jpg,9.0,Jenssen,0.5,False,,a,3,40,18,362,0,302,0,0.0,4.4,Jenssen,,180,0,0,2,0,0,0,1,0,9,4,0,0.000000,2297042.0
47,,,308985,0,0,-1,1,0,1,0.0,0.0,0,Ole,0.0,48,False,,,39,308985.jpg,0.0,Langbråten,1.3,False,,a,3,40,0,300,0,450,0,0.0,0.0,Langbråten,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3090937.0
48,100.0,100.0,123204,0,0,-3,3,0,3,2.3,2.0,1,Brandur,2.0,49,False,,2024-08-29T13:03:24.335419Z,52,123204.jpg,1.4,Hendriksson,0.1,False,,a,3,40,29,13,0,59,0,0.4,5.6,Hendriksson,,702,0,2,2,9,0,0,2,0,0,0,0,0.000000,3989327.0
49,,,128752,0,0,0,0,2,3,2.0,5.0,11,Júliús,5.0,50,False,,,45,128752.jpg,3.1,Magnússon,1.2,False,,a,3,40,94,1050,0,841,0,1.1,20.9,Magnússon,,2700,2,2,13,35,0,0,2,0,0,7,0,0.000000,3994341.0
50,100.0,100.0,447545,0,0,-2,2,0,3,0.0,0.0,0,Elias,0.0,51,False,,2024-11-09T11:43:18.520394Z,43,447545.jpg,1.0,Solberg,0.1,False,,a,3,40,1,14,0,32,0,0.0,0.2,E. Solberg,,1,0,0,0,0,0,0,0,0,0,0,0,0.000000,3650426.0
51,100.0,100.0,118408,0,0,-2,2,2,3,1.0,0.7,0,Sondre,0.7,52,False,,2024-04-22T06:05:47.157777Z,58,118408.jpg,3.5,Sørløkk,3.3,False,,a,3,40,102,4051,0,3054,0,0.1,17.6,Sørløkk,,2049,3,5,12,23,0,0,2,0,0,10,0,0.000000,3614577.0
52,100.0,100.0,467318,0,0,0,0,0,2,3.0,1.3,1,Japhet,1.3,53,False,,2024-09-27T11:23:53.501476Z,50,467318.jpg,2.9,Sery,4.4,False,,a,2,1,76,3101,0,2910,0,0.3,15.2,Sery Larsen,,2141,0,0,9,22,0,0,6,0,0,4,1,0.000000,3924339.0
53,100.0,100.0,101734,0,0,-2,2,1,2,0.3,0.3,0,Thore,0.3,54,False,,2024-10-18T10:47:11.386657Z,43,101734.jpg,1.9,Baardsen Pedersen,0.2,False,,a,2,1,23,318,0,286,0,0.1,5.3,Pedersen,,566,0,1,2,11,0,0,0,0,0,0,0,0.000000,2721808.0
54,100.0,100.0,68781,0,0,-3,3,1,4,1.0,1.0,1,Bård,1.0,55,False,,2024-04-28T19:47:44.732737Z,112,68781.jpg,2.6,Finne,41.9,False,,a,2,1,74,19892,0,34761,0,0.1,6.6,Finne,,1415,6,3,5,20,0,0,0,1,0,4,0,0.000000,2541276.0
55,,,283468,0,0,7,-7,1,4,7.7,4.0,2,Aune,4.0,56,False,,,77,283468.jpg,3.5,Heggebø,20.9,False,,a,2,1,101,16824,0,7025,0,0.5,13.1,Heggebø,,1283,11,3,6,12,0,1,3,0,0,13,0,0.000000,3520805.0
56,0.0,0.0,121956,0,0,0,0,1,2,0.0,0.0,0,Svenn,0.0,57,False,Legg - Ute resten av sesongen,2024-07-29T15:49:17.549722Z,50,121956.jpg,3.1,Crone,3.6,False,,i,2,1,49,3380,0,4454,0,0.0,9.8,Crone,,1440,0,2,5,20,0,0,3,0,0,0,0,0.000000,3951118.0
57,100.0,100.0,108919,0,0,2,-2,0,2,2.7,1.0,1,Fredrik,1.0,58,False,,2024-10-21T11:33:38.335636Z,52,108919.jpg,3.1,Pallesen Knudsen,6.6,False,,a,2,1,84,5630,0,3965,0,0.2,16.2,Pallesen Knudsen,,2214,1,0,9,29,0,0,1,0,0,2,0,0.000000,3383865.0
58,100.0,100.0,29493,0,0,1,-1,0,2,4.3,3.0,2,Ruben,3.0,59,False,,2024-07-19T08:44:49.741291Z,51,29493.jpg,3.5,Kristiansen,5.1,False,,a,2,1,101,4483,0,2474,0,0.6,19.8,Kristiansen,,2447,0,3,11,30,0,0,2,0,0,4,0,0.000000,3792530.0
59,100.0,100.0,79412,0,0,1,-1,1,1,3.0,1.7,2,Mathias,1.7,60,False,,2024-09-05T12:46:08.037550Z,51,79412.jpg,4.0,Dyngeland,21.7,False,,a,2,1,121,5254,0,4345,0,0.3,23.7,Dyngeland,,2700,0,0,11,33,0,0,1,0,80,12,0,0.000000,2917652.0
60,100.0,100.0,110582,0,0,8,-8,5,3,7.7,7.3,10,Niklas,7.3,61,True,,2024-10-01T12:49:01.137701Z,83,110582.jpg,5.2,Castro,20.6,False,,a,2,1,150,11675,0,2584,0,0.9,18.1,Castro,,2024,9,10,8,24,0,0,4,0,0,21,0,0.000000,3335069.0
61,100.0,100.0,249996,0,0,-1,1,3,3,4.3,3.0,2,Ole Didrik,3.0,62,False,,2024-10-18T10:47:11.406294Z,74,249996.jpg,4.2,Blomberg,5.5,False,,a,2,1,106,6403,0,5691,0,0.4,14.3,Blomberg,,1944,3,7,9,23,0,0,1,0,0,13,0,0.000000,3632361.0
62,100.0,100.0,130806,0,0,0,0,1,3,5.0,5.7,5,Felix,5.7,63,False,,2024-11-19T13:20:40.463209Z,65,130806.jpg,4.3,Horn Myhre,7.4,False,,a,2,1,115,6313,0,3108,0,0.9,17.7,Horn Myhre,,2256,3,9,9,26,0,0,3,0,0,15,0,0.000000,3194005.0
63,0.0,0.0,325669,0,0,-2,2,0,3,0.0,0.0,0,Niklas,0.0,64,False,Kne - Ute resten av sesongen,2024-04-15T06:33:44.192222Z,58,325669.jpg,1.7,Jensen Wassberg,0.3,False,,i,2,1,5,471,0,630,0,0.0,0.9,Jensen Wassberg,,223,0,0,0,5,0,0,0,0,0,0,0,0.000000,3189428.0
64,0.0,0.0,49315,0,0,-2,2,1,3,0.0,0.0,0,Sivert,0.0,65,False,Solgt til Aberdeen,2024-07-07T20:52:48.157931Z,58,49315.jpg,3.1,Heltne Nilsen,9.6,False,,u,2,1,47,1614,0,7687,0,0.0,8.1,Heltne Nilsen,,1238,2,1,6,18,0,0,2,1,0,5,0,0.000000,2466818.0
65,100.0,100.0,165338,0,0,-2,2,0,3,0.7,0.7,1,Ulrik,0.7,66,False,,2024-05-22T07:29:32.125304Z,68,165338.jpg,1.8,Mathisen,1.7,False,,a,2,1,37,298,0,1601,0,0.1,5.4,Mathisen,,741,1,2,2,8,0,0,0,0,0,0,0,0.000000,3438365.0
66,100.0,100.0,112526,0,0,0,0,0,3,0.3,0.0,0,Mads,0.0,67,False,,2024-03-19T08:57:59.875519Z,55,112526.jpg,1.8,Berg Sande,0.0,False,,a,2,1,18,9,0,11,0,0.0,3.3,Sande,,267,1,1,0,2,0,0,0,0,0,0,0,0.000000,2738233.0
67,100.0,100.0,74486,0,0,0,0,3,2,0.0,0.3,1,Joachim,0.3,68,False,,2024-10-26T08:38:47.491052Z,70,74486.jpg,4.8,Soltvedt,36.2,False,,a,2,1,91,10263,0,22924,0,0.0,13.0,Soltvedt,,1199,5,1,5,12,0,1,1,0,0,13,0,0.000000,2499326.0
68,,,542556,0,0,-1,1,0,1,0.0,0.0,0,Mathias,0.0,69,False,,,39,542556.jpg,0.0,Klausen,0.6,False,,a,2,1,0,134,0,116,0,0.0,0.0,Klausen,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3848155.0
69,0.0,0.0,252299,0,0,0,0,0,4,0.0,0.0,0,Elias,0.0,70,False,Solgt til Hødd,2024-04-04T07:37:37.743266Z,50,252299.jpg,0.0,Myrlid,0.1,False,,u,2,1,0,5,0,73,0,0.0,0.0,Myrlid,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3905156.0
70,100.0,100.0,502422,0,0,-1,1,0,2,0.0,0.0,0,Jonas,0.0,71,False,,2024-03-19T08:57:59.828049Z,44,502422.jpg,0.0,Torsvik,0.0,False,,a,2,1,0,1,0,15,0,0.0,0.0,Torsvik,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3563370.0
71,100.0,100.0,331194,0,0,-1,1,1,2,5.0,1.7,2,Eivind,1.7,72,False,,2024-07-13T13:43:42.155015Z,39,331194.jpg,3.1,Helland,3.4,False,,a,2,1,44,1277,0,452,0,0.4,11.3,Helland,,913,1,0,4,10,0,0,1,0,0,1,0,0.000000,3223067.0
72,,,105781,0,0,-5,5,0,3,2.0,1.3,1,Sander,1.3,73,False,,,60,105781.jpg,2.4,Kartum,0.7,False,,a,2,1,66,240,0,601,0,0.2,11.0,Kartum,,1320,4,1,5,18,0,0,3,0,0,3,0,0.000000,3334285.0
73,0.0,0.0,255326,0,0,-2,2,0,3,0.0,0.0,0,Magnus,0.0,74,False,Solgt til Lyngby,2024-08-20T12:14:27.083502Z,73,255326.jpg,1.9,Warming,2.2,False,,u,2,1,29,317,0,1450,0,0.0,4.0,Warming,,352,1,3,0,8,0,0,1,0,0,0,0,0.000000,4036246.0
74,0.0,0.0,391352,0,0,-2,2,0,3,0.0,0.0,0,Moonga,0.0,75,False,Ukjent,2024-06-05T08:40:18.227509Z,48,391352.jpg,0.0,Simba,0.1,False,,i,2,1,0,3,0,17,0,0.0,0.0,Simba,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3906822.0
75,100.0,100.0,377946,0,0,-2,2,0,1,0.0,0.0,0,Martin,0.0,76,False,,2024-07-13T13:42:42.724063Z,43,377946.jpg,0.0,Børsheim,0.1,False,,a,2,1,0,7,0,21,0,0.0,0.0,Børsheim,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3299258.0
76,,,405142,0,0,0,0,3,3,2.3,1.7,1,Emil,1.7,77,False,,,60,405142.jpg,3.6,Kornvig,4.5,False,,a,2,1,109,3892,0,4413,0,0.3,18.2,Kornvig,,2573,5,1,12,29,0,1,4,0,0,15,0,0.000000,4058239.0
77,50.0,50.0,320989,0,0,-2,2,0,2,0.0,0.0,0,Martin,0.0,78,False,Fot - 50 % sjanse for å spille,2024-08-02T12:45:00.735465Z,48,320989.jpg,0.0,Hellan,0.2,False,,d,2,1,0,8,0,57,0,0.0,0.0,Hellan,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3677534.0
78,,,164015,0,0,3,-3,3,2,1.3,1.3,1,Vegard,1.3,79,False,,,48,164015.jpg,3.7,Kongsro,5.5,False,,a,4,50,112,3090,0,723,0,0.3,23.3,Kongsro,,2554,3,4,6,36,0,0,1,0,0,10,0,0.000000,3332775.0
79,,,114741,0,0,-4,4,0,4,1.3,1.7,2,Henrik,1.7,80,False,,,56,114741.jpg,2.1,Udahl,2.0,False,,a,4,50,61,1112,0,1548,0,0.3,10.9,Udahl,,1325,3,2,3,16,0,0,1,0,0,3,0,0.000000,3993369.0
80,0.0,0.0,297422,0,0,-2,2,0,2,0.0,0.0,0,Halvor,0.0,81,False,Smell - Ute resten av sesongen,2024-03-30T16:03:10.720921Z,43,297422.jpg,0.0,Rødølen Opsahl,0.1,False,,i,4,50,0,0,0,69,0,0.0,0.0,Opsahl,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3827269.0
81,100.0,100.0,80711,0,0,-2,2,1,3,1.0,1.3,2,Kristian,1.3,82,False,,2024-09-13T08:12:24.575473Z,48,80711.jpg,2.2,Lønstad Onsrud,0.7,False,,a,4,50,63,150,0,418,0,0.3,13.1,Onsrud,,1693,2,2,3,23,0,0,3,0,0,3,0,0.000000,3556447.0
82,0.0,0.0,305956,0,0,-1,1,0,4,0.0,0.0,0,Julian,0.0,83,False,På utlånd til Eidsvold Turn,2024-08-08T20:45:12.129621Z,49,305956.jpg,1.0,Gonstad,0.5,False,,u,4,50,4,88,0,241,0,0.0,0.8,Gonstad,,38,0,0,0,0,0,0,0,0,0,0,0,0.000000,3896715.0
