,element,position,multiplier,is_captain,is_vice_captain,element_type,manager_id,event_id
203,383,9,1,False,False,3,2028,2
204,251,10,1,False,False,4,2028,2
205,38,11,1,False,False,4,2028,2
206,354,12,0,False,False,1,2028,2
207,17,13,0,False,False,3,2028,2
208,201,14,0,False,False,4,2028,2
209,159,15,0,False,False,3,2028,2
210,354,1,1,False,False,1,2028,3
211,245,2,1,False,False,2,2028,3
212,84,3,1,False,False,2,2028,3
213,6,4,1,False,False,2,2028,3
214,320,5,1,False,False,2,2028,3
215,17,6,1,False,False,3,2028,3
216,256,7,2,True,False,3,2028,3
217,393,8,1,False,True,3,2028,3
218,383,9,1,False,False,3,2028,3
219,251,10,1,False,False,4,2028,3
220,38,11,1,False,False,4,2028,3
221,325,12,0,False,False,1,2028,3
222,218,13,0,False,False,2,2028,3
223,159,14,0,False,False,3,2028,3
224,201,15,0,False,False,4,2028,3
225,226,1,1,False,False,1,797,1
226,1,2,1,False,False,2,797,1
227,245,3,1,False,False,2,797,1
228,35,4,1,False,True,2,797,1
229,218,5,1,False,False,2,797,1
230,159,6,1,False,False,3,797,1
231,22,7,1,False,False,3,797,1
232,393,8,2,True,False,3,797,1
233,228,9,1,False,False,3,797,1
234,38,10,1,False,False,4,797,1
235,10,11,1,False,False,4,797,1
236,325,12,0,False,False,1,797,1
237,384,13,0,False,False,3,797,1
238,146,14,0,False,False,4,797,1
239,163,15,0,False,False,2,797,1
240,325,1,1,False,False,1,797,2
241,1,2,1,False,False,2,797,2
242,35,3,1,False,True,2,797,2
243,218,4,1,False,False,2,797,2
244,245,5,1,False,False,2,797,2
245,384,6,1,False,False,3,797,2
246,42,7,1,False,False,3,797,2
247,393,8,2,True,False,3,797,2
248,228,9,1,False,False,3,797,2
249,38,10,1,False,False,4,797,2
250,10,11,1,False,False,4,797,2
251,226,12,0,False,False,1,797,2
252,159,13,0,False,False,3,797,2
253,146,14,0,False,False,4,797,2
254,163,15,0,False,False,2,797,2
255,354,1,1,False,False,1,797,3
256,340,2,1,False,False,2,797,3
257,245,3,1,False,False,2,797,3
258,92,4,1,False,False,2,797,3
259,359,5,2,True,False,3,797,3
260,256,6,1,False,False,3,797,3
261,42,7,1,False,False,3,797,3
262,235,8,1,False,False,3,797,3
263,384,9,1,False,False,3,797,3
264,38,10,1,False,False,4,797,3
265,10,11,1,False,True,4,797,3
266,304,12,0,False,False,1,797,3
267,146,13,0,False,False,4,797,3
268,370,14,0,False,False,2,797,3
269,61,15,0,False,False,2,797,3
270,13,1,1,False,False,1,25615,1
271,1,2,1,False,False,2,25615,1
272,35,3,1,False,False,2,25615,1
273,245,4,1,False,False,2,25615,1
274,206,5,1,False,False,3,25615,1
275,127,6,1,False,False,3,25615,1
276,17,7,1,False,False,3,25615,1
277,256,8,2,True,False,3,25615,1
278,252,9,1,False,True,4,25615,1
279,38,10,1,False,False,4,25615,1
280,200,11,1,False,False,4,25615,1
281,277,12,0,False,False,1,25615,1
282,344,13,0,False,False,2,25615,1
283,364,14,0,False,False,3,25615,1
284,320,15,0,False,False,2,25615,1
285,13,1,1,False,False,1,25615,2
286,1,2,1,False,False,2,25615,2
287,320,3,1,False,False,2,25615,2
288,35,4,1,False,False,2,25615,2
289,245,5,1,False,False,2,25615,2
290,47,6,1,False,False,3,25615,2
291,17,7,1,False,False,3,25615,2
292,256,8,1,False,True,3,25615,2
293,200,9,1,False,False,4,25615,2
294,252,10,1,False,False,4,25615,2
295,38,11,2,True,False,4,25615,2
296,277,12,0,False,False,1,25615,2
297,206,13,0,False,False,3,25615,2
298,364,14,0,False,False,3,25615,2
299,344,15,0,False,False,2,25615,2
300,255,1,1,False,False,1,25615,3
301,1,2,1,False,False,2,25615,3
302,35,3,1,False,False,2,25615,3
303,245,4,1,False,False,2,25615,3
304,364,5,1,False,False,3,25615,3
305,47,6,1,False,False,3,25615,3
306,17,7,1,False,False,3,25615,3
307,256,8,1,False,True,3,25615,3
308,200,9,1,False,False,4,25615,3
309,10,10,1,False,False,4,25615,3
310,38,11,2,True,False,4,25615,3
311,277,12,0,False,False,1,25615,3
312,206,13,0,False,False,3,25615,3
313,320,14,0,False,False,2,25615,3
314,344,15,0,False,False,2,25615,3
315,96,1,1,False,False,1,5492,1
316,340,2,1,False,False,2,5492,1
317,245,3,1,False,False,2,5492,1
318,33,4,1,False,False,2,5492,1
319,279,5,1,False,False,3,5492,1
320,393,6,2,True,False,3,5492,1
321,42,7,1,False,True,3,5492,1
322,383,8,1,False,False,3,5492,1
323,17,9,1,False,False,3,5492,1
324,10,10,1,False,False,4,5492,1
325,251,11,1,False,False,4,5492,1
326,68,12,0,False,False,1,5492,1
327,370,13,0,False,False,2,5492,1
328,220,14,0,False,False,2,5492,1
329,224,15,0,False,False,4,5492,1
330,96,1,1,False,False,1,5492,2
331,370,2,1,False,False,2,5492,2
332,245,3,1,False,False,2,5492,2
333,33,4,1,False,False,2,5492,2
334,336,5,1,False,False,3,5492,2
335,393,6,2,True,False,3,5492,2
336,42,7,1,False,True,3,5492,2
337,383,8,1,False,False,3,5492,2
338,17,9,1,False,False,3,5492,2
339,10,10,1,False,False,4,5492,2
340,251,11,1,False,False,4,5492,2
341,68,12,0,False,False,1,5492,2
342,340,13,0,False,False,2,5492,2
343,220,14,0,False,False,2,5492,2
344,224,15,0,False,False,4,5492,2
345,96,1,2,True,False,1,5492,3
346,370,2,1,False,False,2,5492,3
347,245,3,1,False,False,2,5492,3
348,340,4,1,False,False,2,5492,3
349,2,5,1,False,False,2,5492,3
350,336,6,1,False,False,3,5492,3
351,259,7,1,False,True,3,5492,3
352,42,8,1,False,False,3,5492,3
353,17,9,1,False,False,3,5492,3
354,10,10,1,False,False,4,5492,3
355,251,11,1,False,False,4,5492,3
356,68,12,0,False,False,1,5492,3
357,383,13,0,False,False,3,5492,3
358,220,14,0,False,False,2,5492,3
359,224,15,0,False,False,4,5492,3
