,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,own_goals,opta_index,fiks_id
18,True,True,100.0,100.0,118829,0,0,-2,2,0,3,1.3,2.6,6,Sondre,1.3,19,False,,2025-03-30T19:46:21.036238Z,63,118829.jpg,1.6,False,Brunstad Fet,0.2,False,,a,1,8,14,12,1,126,0,0.2,2.2,Fet,,,,False,p118829,132,1,0,0,7,0,0,0,0,0,0,0,0.000000,3762291.0
19,True,True,100.0,100.0,168222,0,0,0,0,0,3,0.0,0.0,0,Samuel,0.0,20,False,,2025-03-27T21:11:57.911920Z,60,168222.jpg,0.0,False,Burakovsky,0.0,False,,a,1,8,0,0,0,3,0,0.0,0.0,Burakovsky,,,,False,p168222,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,4082472.0
20,True,True,,,252190,0,0,-2,2,0,3,3.4,6.8,2,Håkon,3.4,21,False,,,83,252190.jpg,3.7,False,Evjen,5.1,False,,a,1,8,55,1515,40,1621,33,0.4,6.6,Evjen,,,,False,p252190,1195,1,4,8,13,0,0,3,0,0,4,0,0.000000,3810722.0
21,True,True,,,158465,0,0,-2,2,0,3,3.3,6.6,7,Jens Petter,3.3,22,False,,,103,158465.jpg,3.8,False,Hauge,8.4,False,,a,1,8,53,1018,31,3175,16,0.3,5.1,Hauge,,,,False,p158465,1121,2,4,7,12,0,1,1,0,0,1,0,0.000000,2773713.0
22,True,False,0.0,0.0,500617,0,0,-1,1,0,3,0.0,0.0,0,Jeppe,0.1,23,False,Solgt til Mjällby,2025-07-22T16:46:38.770965Z,59,500617.jpg,1.0,False,Kjær,0.1,False,,u,1,8,3,4,0,32,2,0.0,0.5,Kjær,,,,False,p500617,42,0,0,0,0,0,0,0,0,0,0,0,0.000000,3993996.0
23,True,True,,,246316,0,0,-4,4,1,3,2.9,5.8,16,Isak,2.9,24,False,,,61,246316.jpg,2.5,False,Dybvik Määttä,0.2,False,,a,1,8,33,54,37,78,0,0.5,5.4,Määttä,,,,False,p246316,383,1,3,1,8,0,0,1,0,0,3,0,0.000000,3677354.0
24,True,True,50.0,0.0,188934,0,0,-4,4,0,3,0.0,0.0,0,August,0.0,25,False,Hel - 25 % sjanse for å spille,2025-06-22T21:27:56.472414Z,61,188934.jpg,1.5,False,Mikkelsen,1.8,False,,d,14,3,12,78,0,1400,4,0.0,2.0,Mikkelsen,,,,False,p188934,357,0,0,1,6,0,0,1,0,0,0,0,0.000000,2747373.0
25,True,True,,,78988,1,-1,9,-9,5,3,3.7,7.4,11,Ulrik,3.7,26,True,,,94,78988.jpg,6.5,False,Saltnes,35.9,False,,a,1,8,97,19336,320,2668,34,0.4,10.3,Saltnes,,,,False,p78988,1234,7,4,9,10,0,0,0,0,0,11,0,0.000000,3600872.0
26,True,True,50.0,50.0,114978,0,0,-1,1,0,3,0.0,0.0,0,Sondre,0.0,27,False,Sykdom - 25 % sjanse for å spille,2025-06-28T14:04:06.410010Z,69,114978.jpg,1.7,False,Sørli,1.2,False,,d,1,8,10,11,0,255,2,0.0,1.4,Sørli,,,,False,p114978,193,0,1,0,3,0,0,0,0,0,0,0,0.000000,3410903.0
27,True,True,100.0,100.0,367685,0,0,-4,4,0,3,0.0,0.0,0,Skeide,0.0,28,False,,2025-03-10T21:28:59.455282Z,41,367685.jpg,0.0,False,Syver,0.0,False,,a,1,8,0,13,2,15,0,0.0,0.0,Skeide,,,,False,p367685,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3258758.0
28,True,True,,,125454,-1,1,-4,4,0,3,0.0,0.0,0,Gaute,0.0,29,False,,,41,125454.jpg,0.0,False,Høberg Vetti,0.0,False,,a,1,8,0,5,1,9,1,0.0,0.0,Vetti,,,,False,p125454,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,2751717.0
29,True,False,0.0,0.0,320989,0,0,-1,1,0,2,0.0,0.0,0,Martin,0.0,30,False,På utlån til Stabæk,2025-07-15T19:08:34.003730Z,49,320989.jpg,0.0,False,Hellan,0.3,False,,u,2,1,0,12,0,148,1,0.0,0.0,Hellan,,,,False,p320989,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3677534.0
30,True,True,0.0,0.0,331194,-1,1,-1,1,0,2,0.0,0.0,0,Eivind,2.0,31,False,Suspendert - Tilbake 16. august,2025-07-19T20:53:04.768914Z,49,331194.jpg,2.1,False,Helland,3.5,False,,s,2,1,34,985,0,1673,58,0.4,6.9,Helland,,,,False,p331194,1423,0,1,3,24,0,0,3,1,0,1,0,0.000000,3223067.0
31,True,True,,,331675,0,0,-1,1,0,2,0.8,0.0,0,Rasmus,0.8,32,False,,,44,331675.jpg,1.0,False,Holten,0.1,False,,a,2,1,8,16,0,29,0,0.2,1.8,Holten,,,,False,p331675,142,0,0,0,3,0,0,0,0,0,0,0,0.000000,3266254.0
32,True,True,50.0,0.0,108919,0,0,-2,2,0,2,0.0,0.0,0,Fredrik,0.0,33,False,Kne - 50 % sjanse for å spille,2025-06-18T10:20:51.449897Z,48,108919.jpg,1.7,False,Pallesen Knudsen,4.9,False,,d,2,1,12,251,0,2703,19,0.0,2.5,Pallesen,,,,False,p108919,558,0,0,1,10,0,0,2,0,0,0,0,0.000000,3383865.0
33,True,True,100.0,100.0,467318,0,0,-1,1,0,2,3.5,0.0,0,Japhet,3.5,34,False,,2025-07-13T22:08:50.236738Z,49,467318.jpg,2.5,False,Sery Larsen,2.3,False,,a,2,1,35,205,10,569,4,0.7,7.1,Sery,,,,False,p467318,1024,1,0,3,16,0,0,1,1,0,1,0,0.000000,3924339.0
34,True,True,,,74486,0,0,-1,1,2,2,10.0,0.0,0,Joachim,10.0,35,False,,,59,74486.jpg,4.2,False,Soltvedt,23.7,False,,a,2,1,67,3298,196,8931,53,1.7,11.4,Soltvedt,,,,False,p74486,1221,2,5,3,22,0,0,3,0,0,8,0,0.000000,2499326.0
35,True,True,0.0,0.0,502422,0,0,0,0,0,2,0.0,0.0,0,Jonas,0.0,36,False,Lyske - Ute på ubestemt tid,2025-05-23T07:34:24.285148Z,45,502422.jpg,1.8,False,Torsvik,0.0,False,,i,2,1,7,88,0,84,1,0.0,1.6,Torsvik,,,,False,p502422,70,0,1,0,1,0,0,0,0,0,0,0,0.000000,3563370.0
36,True,True,100.0,100.0,68781,0,0,1,-1,0,4,1.2,0.0,0,Bård,1.2,37,False,,2025-03-14T13:09:54.610394Z,81,68781.jpg,2.8,False,Finne,4.5,False,,a,2,1,39,2893,4,1958,98,0.1,4.8,Finne,,,,False,p68781,864,3,1,4,15,0,1,0,0,0,3,0,0.000000,2541276.0
37,True,False,0.0,0.0,283468,0,0,1,-1,2,4,0.0,0.0,0,Aune,0.5,38,False,Solgt til West Bromwich Albion,2025-07-05T10:48:04.554258Z,96,283468.jpg,5.6,False,Heggebø,28.3,False,,u,2,1,73,8147,0,21260,245,0.1,7.6,Heggebø,,,,False,p283468,1161,7,2,3,20,0,0,1,0,0,14,0,0.000000,3520805.0
38,True,True,,,377946,0,0,-1,1,0,1,0.0,0.0,0,Martin,0.0,39,False,,,44,377946.jpg,0.0,False,Børsheim,0.1,False,,a,2,1,0,6,0,18,1,0.0,0.0,Børsheim,,,,False,p377946,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3299258.0
39,True,True,,,79412,0,0,-1,1,0,1,4.8,0.0,0,Mathias,4.8,40,False,,,49,79412.jpg,3.2,False,Dyngeland,13.2,False,,a,2,1,51,687,21,3406,35,1.0,10.4,Dyngeland,,,,False,p79412,1440,0,0,3,24,1,0,0,0,34,5,0,0.000000,2917652.0
40,True,True,,,542556,0,0,-1,1,0,1,0.0,0.0,0,Mathias,0.0,41,False,,,39,542556.jpg,0.0,False,Klausen,0.4,False,,a,2,1,0,26,1,43,0,0.0,0.0,Klausen,,,,False,p542556,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3848155.0
41,True,True,50.0,0.0,110582,0,0,0,0,1,3,0.0,0.0,0,Niklas,0.0,42,False,Ankel - 50 % sjanse for å spille,2025-05-05T18:19:17.954281Z,105,110582.jpg,6.2,False,Castro,12.5,False,,d,2,1,37,3433,1,16364,35,0.0,3.5,Castro,,,,False,p110582,499,3,1,0,9,0,0,0,0,0,7,0,0.000000,3335069.0
42,True,True,100.0,100.0,454788,0,0,0,0,0,3,0.0,0.0,0,Jesper,0.0,43,False,,2025-04-15T16:04:53.366337Z,45,454788.jpg,0.0,False,Eikrem,0.0,False,,a,2,1,0,1,0,12,0,0.0,0.0,Eikrem,,,,False,p454788,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3893975.0
43,True,True,,,319336,0,0,-1,1,0,3,1.0,0.0,0,Markus,1.0,44,False,,,49,319336.jpg,1.0,False,Haaland,0.1,False,,a,2,1,7,3,0,20,1,0.2,1.4,Haaland,,,,False,p319336,103,0,0,0,1,0,0,0,0,0,0,0,0.000000,3620968.0
44,True,True,,,494164,0,0,-2,2,0,3,1.5,0.0,0,Mads,1.5,45,False,,,68,494164.jpg,1.1,False,Hansen,4.4,False,,a,2,1,16,44,0,1031,2,0.2,2.4,Hansen,,,,False,p494164,525,0,0,1,8,0,0,1,0,0,0,0,0.000000,4096985.0
45,True,False,0.0,0.0,325690,0,0,0,0,0,3,0.0,0.0,0,Isak,0.0,46,False,På utlån til Sotra,2025-03-24T09:43:00.743485Z,45,325690.jpg,0.0,False,Hjorteseth,0.0,False,,u,2,1,0,0,0,4,0,0.0,0.0,Hjorteseth,,,,False,p325690,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3551240.0
46,True,True,100.0,100.0,130806,-1,1,0,0,1,3,3.5,0.0,0,Felix,3.5,47,False,,2025-03-15T09:29:40.702431Z,75,130806.jpg,4.2,False,Horn Myhre,25.2,False,,a,2,1,68,8586,85,6803,130,0.5,9.1,Horn Myhre,,,,False,p130806,1440,3,4,3,24,0,0,1,0,0,7,0,0.000000,3194005.0
47,True,True,0.0,0.0,405142,-1,1,-2,2,1,3,0.0,0.0,0,Emil,3.5,48,False,Suspendert - Tilbake 18. august,2025-07-19T20:55:50.478845Z,53,405142.jpg,3.4,False,Kornvig,8.1,False,,s,2,1,54,2058,2,4052,152,0.7,10.2,Kornvig,,,,False,p405142,1392,2,2,3,23,0,0,4,0,0,10,1,0.000000,4058239.0
48,True,True,100.0,100.0,165338,0,0,-1,1,0,3,2.8,0.0,0,Ulrik,2.8,49,False,,2025-06-16T12:21:58.828778Z,59,165338.jpg,2.2,False,Mathisen,0.3,False,,a,2,1,27,68,1,134,0,0.5,4.6,Mathisen,,,,False,p165338,531,0,3,2,7,0,0,0,0,0,0,0,0.000000,3438365.0
49,True,True,100.0,100.0,101734,-1,1,-1,1,0,3,1.0,0.0,0,Thore,1.0,50,False,,2025-05-04T20:59:41.692668Z,44,101734.jpg,1.7,False,Baardsen Pedersen,0.3,False,,a,2,1,25,41,0,80,0,0.2,5.7,Pedersen,,,,False,p101734,874,0,0,3,14,0,0,2,0,0,0,0,0.000000,2721808.0
50,True,True,,,455250,0,0,-1,1,0,3,0.2,0.0,0,Lars,0.2,51,False,,,49,455250.jpg,0.8,False,Remmem,0.1,False,,a,2,1,4,0,0,5,0,0.0,0.8,Remmem,,,,False,p455250,85,0,0,0,1,0,0,1,0,0,0,0,0.000000,4020204.0
51,True,True,0.0,0.0,189342,0,0,0,0,0,3,0.0,0.0,0,Sakarias,0.0,52,False,Fot - Ute på ubestemt tid,2025-03-10T21:29:50.371648Z,45,189342.jpg,0.0,False,Opsahl,0.1,False,,i,2,1,0,4,0,21,1,0.0,0.0,Opsahl,,,,False,p189342,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3714710.0
52,True,True,,,112526,0,0,-4,4,0,3,1.2,0.0,0,Mads,1.2,53,False,,,56,112526.jpg,2.6,False,Berg Sande,0.3,False,,a,2,1,36,104,0,306,2,0.2,6.4,Sande,,,,False,p112526,702,3,0,2,12,0,0,1,0,0,0,0,0.000000,2738233.0
53,True,True,100.0,100.0,489770,0,0,0,0,0,3,1.5,0.0,0,Eggert Aron,1.5,54,False,,2025-05-05T18:19:17.964833Z,65,489770.jpg,3.2,False,Gudmundsson,2.2,False,,a,2,1,52,1364,14,947,19,0.2,8.0,Gudmundsson,,,,False,p489770,1187,2,2,2,21,0,0,1,0,0,5,0,0.000000,4101328.0
54,True,True,100.0,100.0,530620,0,0,-4,4,0,2,1.8,0.0,0,Denzel,1.8,55,False,,2025-04-28T12:15:24.241544Z,46,530620.jpg,1.1,False,De Roeve,0.7,False,,a,2,1,15,24,0,909,1,0.4,3.3,De Roeve,,,,False,p530620,471,0,1,0,8,0,0,2,0,0,0,0,0.000000,4103920.0
55,True,True,,,93771,0,0,-3,3,0,2,0.6,0.6,0,Dadi,0.6,56,False,,,42,93771.jpg,1.0,False,Dodou Gaye,0.4,False,,a,3,13,5,8,1,98,0,0.1,1.2,Gaye,,,,False,p93771,138,0,0,0,5,0,0,0,0,0,0,0,0.000000,3154655.0
56,True,True,,,299275,0,0,0,0,0,2,3.0,3.0,7,Lasse,3.0,57,False,,,45,299275.jpg,2.2,False,Qvigstad,0.1,False,,a,3,13,28,32,0,37,0,0.7,6.2,Qvigstad,,,,False,p299275,957,1,0,1,17,0,0,1,0,0,0,0,0.000000,3132517.0
57,True,False,0.0,0.0,462666,0,0,-2,2,0,2,0.0,0.0,0,Luis,0.0,58,False,Overgang til Ulm,2025-07-04T22:36:42.988460Z,43,462666.jpg,1.5,False,Görlich,0.1,False,,u,3,13,12,12,0,66,0,0.0,2.8,Görlich,,,,False,p462666,497,0,0,1,9,0,0,3,0,0,0,0,0.000000,4058508.0
58,True,True,100.0,100.0,437567,0,0,0,0,0,2,2.0,2.0,1,Jacob,2.0,59,False,,2025-05-11T20:05:51.877461Z,45,437567.jpg,1.9,False,Haahr Steffensen,0.1,False,,a,3,13,23,28,0,31,0,0.4,5.1,Haahr,,,,False,p437567,980,0,1,1,18,0,0,0,0,0,0,1,0.000000,4058380.0
59,True,True,100.0,100.0,125407,0,0,-3,3,0,2,0.6,0.6,0,Sondre,0.6,60,False,,2025-05-21T20:38:11.328159Z,42,125407.jpg,1.3,False,Norheim,0.1,False,,a,3,13,14,18,0,53,1,0.1,3.3,Norheim,,,,False,p125407,280,0,0,1,9,0,0,0,0,0,1,0,0.000000,2994272.0
60,True,True,100.0,100.0,186612,0,0,1,-1,0,2,2.2,2.2,0,Jens,2.2,61,False,,2025-03-15T09:22:36.311948Z,41,186612.jpg,1.9,False,Berland Husebø,10.4,False,,a,3,13,29,3113,27,2278,55,0.5,7.1,Husebø,,,,False,p186612,1261,0,0,2,25,0,0,2,0,0,1,0,0.000000,3396078.0
61,True,True,100.0,100.0,119491,0,0,-1,1,1,2,3.0,3.0,1,Eirik,3.0,62,False,,2025-03-30T19:30:27.856424Z,44,119491.jpg,3.2,False,Saunes,1.5,False,,a,3,13,41,808,9,170,7,0.7,9.3,Saunes,,,,False,p119491,1146,1,2,2,24,0,0,1,0,0,3,0,0.000000,3457889.0
62,True,True,,,161628,0,0,-2,2,2,4,2.4,2.4,2,Sanel,2.4,63,False,,,53,161628.jpg,3.7,False,Bojadzic,2.6,False,,a,3,13,44,1436,11,1204,47,0.5,8.3,Bojadzic,,,,False,p161628,756,4,1,2,16,0,0,1,0,0,7,0,0.000000,2688237.0
63,True,True,,,686580,0,0,7,-7,1,4,4.0,4.0,1,Duarte,4.0,64,True,,,62,686580.jpg,5.2,False,Moreira,19.0,False,,a,3,13,78,11836,106,2695,417,0.6,12.6,Moreira,,,,False,p686580,1192,6,6,2,22,0,0,1,0,0,9,0,0.000000,4036333.0
64,True,True,50.0,50.0,322780,0,0,-3,3,0,4,0.0,0.0,0,Sjur,0.0,65,False,Smell - 25 % sjanse for å spille,2025-06-27T13:15:52.462823Z,52,322780.jpg,1.3,False,Jonassen,0.2,False,,d,3,13,8,43,0,125,2,0.0,1.5,Jonassen,,,,False,p322780,199,0,0,0,6,0,0,0,0,0,0,0,0.000000,3833217.0
65,True,True,100.0,100.0,116587,0,0,0,0,0,3,0.2,0.2,1,Robert,0.2,66,False,,2025-06-28T11:23:33.888156Z,45,116587.jpg,1.0,False,Undheim,0.0,False,,a,3,13,1,6,0,5,0,0.0,0.2,Undheim,,,,False,p116587,9,0,0,0,0,0,0,0,0,0,0,0,0.000000,2102262.0
66,True,True,,,97635,0,0,-1,1,0,1,1.8,1.8,0,Anton,1.8,67,False,,,39,97635.jpg,4.5,False,Cajtoft,1.1,False,,a,3,13,9,263,15,181,1,0.5,2.3,Cajtoft,,,,False,p97635,113,0,0,1,1,0,0,0,0,3,1,0,0.000000,3986290.0
67,True,True,,,105341,0,0,-1,1,0,1,0.0,0.0,0,Igor,0.0,68,False,,,39,105341.jpg,0.0,False,Spiridonov,1.0,False,,a,3,13,0,144,1,226,2,0.0,0.0,Spiridonov,,,,False,p105341,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3831252.0
68,True,True,100.0,100.0,447075,0,0,0,0,0,1,1.2,1.2,1,Jan,1.2,69,False,,2025-07-06T13:56:23.280881Z,45,447075.jpg,2.3,False,de Boer,1.4,False,,a,3,13,32,366,4,221,2,0.3,7.1,de Boer,,,,False,p447075,1234,0,0,1,27,1,0,1,1,34,0,0,0.000000,4099269.0
69,True,True,0.0,0.0,109423,0,0,-1,1,0,3,0.0,0.0,0,Remi-André,0.0,70,False,Kne - Ute på ubestemt tid,2025-03-10T21:35:01.444384Z,49,109423.jpg,0.0,False,Svindland,0.0,False,,i,3,13,0,2,0,9,0,0.0,0.0,Svindland,,,,False,p109423,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,2885728.0
70,True,True,0.0,100.0,136150,0,0,0,0,3,2,0.0,2.8,0,Axel,2.8,71,False,Suspendert - Tilbake 10. august,2025-07-27T13:39:17.151671Z,45,136150.jpg,2.7,False,Kryger,1.2,False,,s,3,13,40,783,4,336,15,0.6,8.9,Kryger,,,,False,p136150,1243,2,1,1,24,0,0,4,0,0,4,0,0.000000,2683829.0
71,True,True,,,24028,0,0,-2,2,0,3,0.4,0.4,1,Christian,0.4,72,False,,,43,24028.jpg,1.0,False,Landu-Landu,0.2,False,,a,3,13,6,25,0,83,0,0.1,1.4,Landu-Landu,,,,False,p24028,77,0,0,0,3,0,0,0,0,0,0,0,0.000000,2190229.0
72,True,False,0.0,0.0,413215,0,0,0,0,0,2,0.0,0.0,0,Marius,0.0,73,False,På utlån til Levanger,2025-03-27T09:51:09.869271Z,40,413215.jpg,0.0,False,Mattingsdal,0.1,False,,u,3,13,0,0,0,37,1,0.0,0.0,Mattingsdal,,,,False,p413215,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3504867.0
73,True,True,100.0,0.0,284912,0,0,-2,2,0,3,1.4,0.0,0,Lars Erik,1.4,74,False,,2025-07-20T18:53:41.339415Z,43,284912.jpg,1.8,False,Sødal,0.3,False,,a,3,13,21,84,0,141,2,0.3,4.9,Sødal,,,,False,p284912,998,0,0,2,18,0,0,4,0,0,0,0,0.000000,3347745.0
74,True,True,100.0,100.0,260999,0,0,0,0,0,3,2.6,2.6,2,Mats,2.6,75,False,,2025-03-15T09:22:36.320895Z,50,260999.jpg,1.9,False,Thornes,0.0,False,,a,3,13,17,4,0,2,0,0.5,3.4,Thornes,,,,False,p260999,369,0,1,2,7,0,0,1,0,0,0,0,0.000000,3044262.0
75,True,True,100.0,100.0,34543,0,0,0,0,0,3,1.0,1.0,1,Jon-Helge,1.0,76,False,,2025-05-11T15:07:14.340659Z,50,34543.jpg,1.2,False,Tveita,0.0,False,,a,3,13,12,2,0,2,0,0.2,2.4,Tveita,,,,False,p34543,159,0,1,0,3,0,0,1,0,0,0,0,0.000000,3901870.0
76,True,True,100.0,100.0,516848,0,0,-2,2,0,3,1.2,1.2,4,Kristian,1.2,77,False,,2025-04-25T09:47:46.348183Z,48,516848.jpg,1.8,False,Skurve Håland,0.1,False,,a,3,13,7,3,0,50,0,0.3,1.5,Håland,,,,False,p516848,65,0,1,0,0,0,0,0,0,0,0,0,0.000000,3918538.0
77,True,True,,,239114,0,0,0,0,1,3,3.4,3.4,2,Alfred,3.4,78,False,,,55,239114.jpg,3.9,False,Scriven,1.4,False,,a,3,13,58,827,27,358,9,0.6,10.5,Scriven,,,,False,p239114,1267,3,3,2,27,0,0,3,0,0,6,0,0.000000,3104510.0
